scenario,scenario_type,fault_percentage,workload_users,checkout_error,checkout_success,checkout_success_rate,checkout_http_req_duration,iteration_duration_p(95),GRPC_BACKOFF_MULTIPLIER,GRPC_INITIAL_BACKOFF,GRPC_MAX_ATTEMPTS,GRPC_MAX_BACKOFF,normalized_checkout_http_req_duration,normalized_iteration_duration_p(95),checkout_error_rate
retry-checkout-400vu-25f-00001,retry,25,400,188,2812,0.9373333333333334,1800.9554655,28143.669593049988,1.0,0.5,2.0,15.0,0.12931343581430893,0.1597281743239154,0.06266666666666665
retry-checkout-400vu-50f-00001,retry,50,400,755,2245,0.7483333333333333,1914.497483,30984.325165549995,1.0,0.5,2.0,15.0,0.22234203809670047,0.4904019316896985,0.2516666666666667
retry-checkout-400vu-75f-00001,retry,75,400,1720,1280,0.4266666666666667,2092.939914,34089.58889054999,1.0,0.5,2.0,15.0,0.2959823707908785,0.6636678359598596,0.5733333333333333
retry-checkout-400vu-25f-00002,retry,25,400,192,2808,0.936,2089.2602024999997,33956.2856645,1.5,0.5,2.0,15.0,0.5546447553911013,0.8017136067762629,0.06399999999999995
retry-checkout-400vu-50f-00002,retry,50,400,743,2257,0.7523333333333333,1903.902112,31380.563634799997,1.5,0.5,2.0,15.0,0.21213446586712104,0.5532220347101173,0.2476666666666667
retry-checkout-400vu-75f-00002,retry,75,400,1710,1290,0.43,1916.6414435000002,30912.679614349978,1.5,0.5,2.0,15.0,0.15927572592872064,0.38216863282552344,0.5700000000000001
retry-checkout-400vu-25f-00003,retry,25,400,193,2807,0.9356666666666666,1877.364723,28901.33943995,2.0,0.5,2.0,15.0,0.24203877865304949,0.24341046098092273,0.06433333333333335
retry-checkout-400vu-50f-00003,retry,50,400,708,2292,0.764,1683.7083855,28604.220889149987,2.0,0.5,2.0,15.0,0.0,0.11305745999870971,0.236
retry-checkout-400vu-75f-00003,retry,75,400,1662,1338,0.446,1906.1338675000002,31090.788662699997,2.0,0.5,2.0,15.0,0.1511278647673606,0.3979504984132988,0.554
retry-checkout-400vu-25f-00004,retry,25,400,185,2815,0.9383333333333334,2012.086885,31893.27022075,1.0,1.0,2.0,15.0,0.4407922071813447,0.573859944065434,0.06166666666666665
retry-checkout-400vu-50f-00004,retry,50,400,711,2289,0.763,2106.787227,32579.53739985,1.0,1.0,2.0,15.0,0.40759382879731065,0.7433087155459921,0.237
retry-checkout-400vu-75f-00004,retry,75,400,1688,1312,0.43733333333333335,1811.336843,28806.4671003,1.0,1.0,2.0,15.0,0.07761966514681536,0.1955416023407826,0.5626666666666666
retry-checkout-400vu-25f-00005,retry,25,400,188,2812,0.9373333333333334,1917.539032,28904.546328999997,1.5,1.0,2.0,15.0,0.30130728751579433,0.24376465193870878,0.06266666666666665
retry-checkout-400vu-50f-00005,retry,50,400,751,2249,0.7496666666666667,2000.915002,29609.643260999976,1.5,1.0,2.0,15.0,0.30559660908751735,0.27245828016188195,0.2503333333333333
retry-checkout-400vu-75f-00005,retry,75,400,1664,1336,0.44533333333333336,1718.9631479999998,28404.0808326,1.5,1.0,2.0,15.0,0.00599058134843762,0.15988700730455396,0.5546666666666666
retry-checkout-400vu-25f-00006,retry,25,400,215,2785,0.9283333333333333,1986.606328,30796.10430195,2.0,1.0,2.0,15.0,0.40320115319751226,0.45268136832697375,0.07166666666666666
retry-checkout-400vu-50f-00006,retry,50,400,771,2229,0.743,2103.213295,32509.7396573,2.0,1.0,2.0,15.0,0.4041507054716996,0.7322429010987402,0.257
retry-checkout-400vu-75f-00006,retry,75,400,1692,1308,0.436,2098.7408020000003,31698.6151385,2.0,1.0,2.0,15.0,0.30048053764083527,0.4518087152227866,0.5640000000000001
retry-checkout-400vu-25f-00007,retry,25,400,208,2792,0.9306666666666666,1905.4690355,28005.2330219,1.0,1.5,2.0,15.0,0.28350061672691923,0.14443828403966424,0.06933333333333336
retry-checkout-400vu-50f-00007,retry,50,400,762,2238,0.746,2197.8875845000002,34090.0199165,1.0,1.5,2.0,15.0,0.4953598427784872,0.9827823524346552,0.254
retry-checkout-400vu-75f-00007,retry,75,400,1691,1309,0.43633333333333335,2115.391895,30598.46364485,1.0,1.5,2.0,15.0,0.31339224952841943,0.35432662119208885,0.5636666666666666
retry-checkout-400vu-25f-00008,retry,25,400,202,2798,0.9326666666666666,1891.8380975,29413.299128799998,1.5,1.5,2.0,15.0,0.26339111416744704,0.29995482210927527,0.06733333333333336
retry-checkout-400vu-50f-00008,retry,50,400,699,2301,0.767,2095.338847,30795.529746,1.5,1.5,2.0,15.0,0.39656446835663617,0.4604700885540163,0.23299999999999998
retry-checkout-400vu-75f-00008,retry,75,400,1626,1374,0.458,1711.2376250000002,26599.64760154998,1.5,1.5,2.0,15.0,0.0,0.0,0.542
retry-checkout-400vu-25f-00009,retry,25,400,201,2799,0.933,1901.105768,28311.93791054998,2.0,1.5,2.0,15.0,0.27706355869328175,0.1783128885473189,0.06699999999999995
retry-checkout-400vu-50f-00009,retry,50,400,767,2233,0.7443333333333333,2008.83202,28194.45011205,2.0,1.5,2.0,15.0,0.3132238581076678,0.04809192931487087,0.2556666666666667
